"sender_id","receiver_id","sending_date"
9,255,1776-05-29
94,644,1776-05-30
7,467,1776-06-01
7,541,1776-06-02
17,528,1776-06-02
7,436,1776-06-03
7,646,1776-06-04
40,492,1776-06-04
35,249,1776-06-04
104,649,1776-06-04
89,4,1776-06-05
13,443,1776-06-06
74,521,1776-06-08
28,20,1776-06-08
7,651,1776-06-09
73,63,1776-06-10
110,63,1776-06-10
7,403,1776-06-10
111,443,1776-06-11
26,425,1776-06-11
7,656,1776-06-12
7,37,1776-06-14
40,21,1776-06-14
7,443,1776-06-16
7,433,1776-06-18
111,455,1776-06-18
7,663,1776-06-21
7,664,1776-06-22
7,665,1776-06-22
7,666,1776-06-22
110,63,1776-06-22
7,668,1776-06-23
7,486,1776-06-23
7,460,1776-06-23
50,669,1776-06-23
7,37,1776-06-24
7,405,1776-06-24
111,433,1776-06-25
111,455,1776-06-25
40,492,1776-06-25
28,20,1776-06-29
76,17,1776-06-30
7,672,1776-07-01
73,157,1776-07-01
7,403,1776-07-03
7,403,1776-07-03
111,443,1776-07-05
35,249,1776-07-08
7,37,1776-07-09
13,474,1776-07-09
7,615,1776-07-10
124,678,1776-07-10
9,255,1776-07-10
7,403,1776-07-11
126,80,1776-07-11
122,673,1776-07-14
7,403,1776-07-15
13,17,1776-07-15
73,63,1776-07-15
40,676,1776-07-16
128,436,1776-07-16
33,681,1776-07-16
7,683,1776-07-18
13,615,1776-07-20
124,684,1776-07-20
47,685,1776-07-20
7,112,1776-07-21
89,174,1776-07-21
40,524,1776-07-22
110,63,1776-07-22
129,578,1776-07-23
2,490,1776-07-23
128,524,1776-07-23
35,249,1776-07-24
130,269,1776-07-25
13,665,1776-07-27
7,403,1776-07-30
2,532,1776-07-30
7,408,1776-08-02
40,21,1776-08-02
13,455,1776-08-03
9,255,1776-08-03
122,673,1776-08-06
37,433,1776-08-09
7,403,1776-08-10
7,666,1776-08-11
131,531,1776-08-12
131,104,1776-08-12
7,403,1776-08-13
2,45,1776-08-13
7,403,1776-08-14
9,255,1776-08-14
132,102,1776-08-15
56,706,1776-08-16
71,31,1776-08-16
36,102,1776-08-17
28,102,1776-08-19
7,405,1776-08-24
7,474,1776-08-25
2,45,1776-08-26
9,255,1776-08-28
73,110,1776-09-03
40,676,1776-09-03
9,16,1776-09-04
7,403,1776-09-06
111,653,1776-09-06
124,521,1776-09-07
9,16,1776-09-07
67,20,1776-09-08
9,255,1776-09-11
9,632,1776-09-12
9,16,1776-09-13
131,455,1776-09-13
7,13,1776-09-14
73,110,1776-09-14
125,181,1776-09-14
128,691,1776-09-14
76,528,1776-09-15
17,436,1776-09-15
128,715,1776-09-16
76,2,1776-09-17
113,717,1776-09-20
131,422,1776-09-20
124,521,1776-09-21
40,720,1776-09-24
128,706,1776-09-24
42,721,1776-09-25
7,405,1776-09-26
36,249,1776-09-26
37,31,1776-09-29
131,531,1776-09-30
94,644,1776-10-03
40,54,1776-10-04
73,63,1776-10-07
111,455,1776-10-08
89,629,1776-10-08
40,676,1776-10-09
28,102,1776-10-09
124,521,1776-10-11
17,154,1776-10-22
110,606,1776-10-26
36,35,1776-10-27
17,21,1776-10-27
36,35,1776-11-01
17,2,1776-11-03
17,532,1776-11-04
36,35,1776-11-05
124,738,1776-11-07
110,63,1776-11-07
110,73,1776-11-08
76,528,1776-11-09
85,730,1776-11-10
111,653,1776-11-11
121,742,1776-11-14
36,35,1776-11-16
104,13,1776-11-16
104,602,1776-11-18
28,102,1776-11-23
28,20,1776-11-24
87,16,1776-11-25
13,477,1776-11-29
36,35,1776-11-30
13,443,1776-12-04
13,477,1776-12-09
124,521,1776-12-10
13,443,1776-12-12
89,40,1776-12-13
104,584,1776-12-13
89,40,1776-12-16
140,751,1776-12-19
89,4,1776-12-20
128,17,1776-12-21
40,21,1776-12-23
89,40,1776-12-23
89,21,1776-12-23
110,73,1776-12-23
17,89,1776-12-24
89,629,1776-12-24
124,521,1776-12-25
13,443,1776-12-25
138,425,1776-12-25
40,54,1776-12-30
40,720,1776-12-30
128,17,1776-12-30
120,17,1776-12-30
97,21,1776-12-31
110,73,1776-12-31
13,443,1777-01-01
36,35,1777-01-01
104,190,1777-01-01
13,267,1777-01-02
40,89,1777-01-02
89,40,1777-01-06
111,7,1777-01-08
89,4,1777-01-08
13,7,1777-01-09
120,21,1777-01-09
110,598,1777-01-09
89,20,1777-01-12
89,63,1777-01-12
142,13,1777-01-13
40,89,1777-01-14
50,89,1777-01-14
97,40,1777-01-17
89,565,1777-01-23
89,36,1777-01-24
89,732,1777-01-31
89,21,1777-01-31
36,89,1777-02-01
144,48,1777-02-01
110,598,1777-02-02
7,443,1777-02-03
13,615,1777-02-04
122,703,1777-02-04
113,701,1777-02-05
110,73,1777-02-07
122,767,1777-02-08
26,425,1777-02-09
97,40,1777-02-10
7,443,1777-02-12
111,42,1777-02-14
145,76,1777-02-14
124,521,1777-02-15
40,557,1777-02-15
113,770,1777-02-15
110,63,1777-02-15
13,443,1777-02-16
89,360,1777-02-16
17,267,1777-02-17
7,5,1777-02-22
40,21,1777-02-23
7,405,1777-02-25
124,738,1777-02-26
89,360,1777-02-26
89,21,1777-02-27
110,598,1777-02-28
10,774,1777-03-04
7,664,1777-03-09
142,154,1777-03-09
144,48,1777-03-11
40,773,1777-03-11
7,403,1777-03-14
7,403,1777-03-16
7,443,1777-03-18
13,777,1777-03-18
13,477,1777-03-19
13,627,1777-03-20
7,693,1777-03-21
7,443,1777-03-21
142,449,1777-03-22
104,190,1777-03-22
104,584,1777-03-22
111,455,1777-03-26
7,405,1777-03-27
89,629,1777-03-27
7,443,1777-03-31
111,443,1777-03-31
13,477,1777-04-01
110,73,1777-04-01
110,598,1777-04-01
7,403,1777-04-03
7,443,1777-04-03
7,403,1777-04-06
110,73,1777-04-07
7,668,1777-04-08
17,21,1777-04-10
7,403,1777-04-13
17,436,1777-04-15
13,443,1777-04-17
145,654,1777-04-17
104,791,1777-04-17
17,267,1777-04-20
13,615,1777-04-23
10,422,1777-04-23
113,770,1777-04-26
7,403,1777-04-27
7,794,1777-04-27
7,154,1777-04-27
144,48,1777-04-29
17,2,1777-04-29
150,187,1777-05-01
113,435,1777-05-01
89,435,1777-05-01
120,661,1777-05-01
145,654,1777-05-06
110,73,1777-05-07
7,664,1777-05-09
94,701,1777-05-09
7,664,1777-05-10
151,48,1777-05-11
13,664,1777-05-12
17,436,1777-05-13
113,717,1777-05-13
7,403,1777-05-17
54,804,1777-05-22
144,48,1777-05-23
7,403,1777-05-24
126,689,1777-05-24
17,436,1777-05-26
148,21,1777-05-26
10,422,1777-05-26
145,20,1777-05-28
145,102,1777-05-28
7,403,1777-06-02
7,664,1777-06-02
7,5,1777-06-08
94,806,1777-06-12
7,403,1777-06-14
152,263,1777-06-18
121,187,1777-06-24
25,102,1777-06-28
7,403,1777-06-29
89,4,1777-06-29
13,443,1777-06-30
25,102,1777-07-01
50,346,1777-07-03
13,267,1777-07-04
7,812,1777-07-05
131,422,1777-07-05
7,664,1777-07-07
44,455,1777-07-07
155,73,1777-07-07
113,810,1777-07-10
155,73,1777-07-12
142,21,1777-07-24
7,622,1777-07-27
145,54,1777-07-29
13,794,1777-08-05
141,282,1777-08-05
159,565,1777-08-05
108,48,1777-08-05
13,63,1777-08-07
141,282,1777-08-09
141,822,1777-08-09
155,73,1777-08-09
17,528,1777-08-09
141,824,1777-08-14
141,825,1777-08-15
141,269,1777-08-15
7,403,1777-08-17
141,282,1777-08-17
17,532,1777-08-17
7,443,1777-08-18
7,403,1777-08-19
7,403,1777-08-19
7,403,1777-08-20
142,104,1777-08-21
26,425,1777-08-22
7,403,1777-08-23
7,403,1777-08-24
24,422,1777-08-25
17,2,1777-08-25
141,832,1777-08-27
141,743,1777-08-30
44,422,1777-09-01
141,661,1777-09-01
13,836,1777-09-02
37,435,1777-09-02
141,830,1777-09-02
25,102,1777-09-03
89,110,1777-09-04
141,282,1777-09-05
44,455,1777-09-07
142,455,1777-09-07
7,403,1777-09-08
141,282,1777-09-08
17,436,1777-09-08
141,269,1777-09-10
144,48,1777-09-17
111,443,1777-09-17
142,110,1777-09-17
141,282,1777-09-18
164,2,1777-09-18
111,21,1777-09-24
142,42,1777-09-24
111,21,1777-09-25
44,455,1777-09-28
163,21,1777-09-30
25,57,1777-10-03
142,433,1777-10-05
111,443,1777-10-06
44,455,1777-10-08
25,54,1777-10-09
25,57,1777-10-10
156,48,1777-10-10
156,816,1777-10-10
141,845,1777-10-10
148,789,1777-10-10
131,422,1777-10-11
17,267,1777-10-13
148,789,1777-10-14
7,403,1777-10-15
141,845,1777-10-16
40,21,1777-10-17
141,824,1777-10-17
141,282,1777-10-18
17,136,1777-10-19
141,821,1777-10-20
131,531,1777-10-22
89,50,1777-10-22
141,847,1777-10-23
131,422,1777-10-23
87,290,1777-10-24
141,372,1777-10-24
40,21,1777-10-25
164,2,1777-10-25
141,821,1777-10-25
113,810,1777-10-26
89,849,1777-10-27
111,443,1777-10-28
17,436,1777-10-28
13,443,1777-10-29
25,805,1777-11-03
44,455,1777-11-04
131,455,1777-11-04
142,433,1777-11-05
25,57,1777-11-09
141,21,1777-11-13
141,856,1777-11-15
17,13,1777-11-15
156,144,1777-11-20
17,21,1777-11-20
157,425,1777-11-21
141,789,1777-11-21
17,13,1777-11-23
17,10,1777-11-24
17,532,1777-11-25
111,455,1777-11-27
141,720,1777-11-28
131,422,1777-11-28
124,521,1777-11-30
156,816,1777-11-30
141,845,1777-11-30
141,21,1777-11-30
89,789,1777-11-30
141,269,1777-12-01
25,102,1777-12-02
111,7,1777-12-03
141,720,1777-12-03
141,847,1777-12-06
156,144,1777-12-08
156,816,1777-12-08
142,7,1777-12-08
156,816,1777-12-12
124,521,1777-12-14
111,443,1777-12-15
44,455,1777-12-15
142,13,1777-12-15
156,144,1777-12-16
142,17,1777-12-18
124,684,1777-12-19
122,439,1777-12-20
124,110,1777-12-21
76,13,1777-12-22
141,720,1777-12-23
141,422,1777-12-23
142,110,1777-12-23
89,141,1777-12-26
142,17,1777-12-28
164,2,1777-12-29
141,282,1777-12-30
44,422,1778-01-05
141,845,1778-01-08
141,847,1778-01-12
111,21,1778-01-13
142,7,1778-01-13
122,439,1778-01-15
141,7,1778-01-15
153,141,1778-01-15
142,7,1778-01-21
163,21,1778-01-22
111,7,1778-01-25
89,286,1778-01-25
141,246,1778-01-26
148,789,1778-01-26
141,80,1778-01-27
170,111,1778-01-29
113,619,1778-01-29
141,282,1778-01-30
141,821,1778-01-30
141,269,1778-01-30
156,48,1778-01-31
143,20,1778-02-01
173,141,1778-02-05
160,278,1778-02-05
141,845,1778-02-06
142,598,1778-02-06
111,541,1778-02-07
142,110,1778-02-08
174,171,1778-02-08
173,21,1778-02-11
173,141,1778-02-12
173,141,1778-02-12
100,16,1778-02-12
173,80,1778-02-13
172,435,1778-02-14
143,57,1778-02-17
89,883,1778-02-17
173,337,1778-02-18
145,76,1778-02-19
174,171,1778-02-19
143,102,1778-02-22
173,141,1778-02-24
141,375,1778-02-24
173,141,1778-02-25
173,789,1778-02-28
124,521,1778-03-01
141,845,1778-03-01
173,141,1778-03-02
172,888,1778-03-02
173,141,1778-03-03
141,847,1778-03-04
143,57,1778-03-04
173,141,1778-03-05
145,89,1778-03-05
113,810,1778-03-06
141,13,1778-03-07
174,341,1778-03-08
173,21,1778-03-09
141,893,1778-03-10
141,282,1778-03-11
141,269,1778-03-11
144,48,1778-03-12
25,57,1778-03-13
124,738,1778-03-16
143,57,1778-03-16
172,888,1778-03-17
87,789,1778-03-18
156,48,1778-03-20
