Id,Names,Nationality/State,Position held,Occupation,Year born,Year deceased,Gender,Other memberships,URL References
90,"Coffyn, Francis",Flanders,Agent in France,Agent; Broker; Translator,,,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=244418.xml & https://www.founders.archives.gov/?q=Coffyn%2C%20Francis%20Author%3A%22Coffyn%2C%20Francis%22&s=1111311111&r=1&sr=#BNFN-01-25-02-0393-fn-0001-ptr
92,"Greene, William",Rhode Island,State President/Governor; State Chief Justice; State Representative,Statesman; Justice; Attorney at Law,1731,1809,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=52757.xml
93,"Roberdeau, Daniel",Pennsylvania,Delegate Continental Congress; Militia General,Politician; Military; Merchant; Militia,1727,1795,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57431.xml
95,"Schuyler, Philip",New York,General; Delegate Continental Congress; State Representative; State Representative; State surveyor general,Military; Politician; Surveyor,1733,1804,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57820.xml
96,"Phillips, William",Great Britain,General,Military,1731,1781,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56806.xml
97,"Morris, Robert",Pennsylvania,Delegate Continental Congress; Secret Committee of Trade; Marine Committee; Superintendent of Finance; Agent of Marine; Committee of Secret Correspondence,Politician; Diplomat; Merchant; Financier,1734,1806,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=55950.xml
100,"Cambray-Digny, Louis-Antoine-Jean-Baptiste, chevalier de",France,Colonel,Military,1751,1822,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=304786.xml
101,"Bache, Sarah Franklin",Pennsylvania,,,1743,1808,V,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=48680.xml
102,"Cooke, Nicholas",Rhode Island,State President/Governor,Statesman; Merchant; Distiller,1717,1782,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=50733.xml
104,"Lee, Charles",Virginia,General,Military,1731,1782,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54538.xml
107,"Livingston, William",New Jersey,State President/Governor; Delegate Continental Congress; Militia General,Statesman; Politician; Attorney at Law; Militia; Military,1723,1790,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54853.xml
109,"Clinton, George",New York,State President/Governor; Delegate Continental Congress; Militia General; General,Statesman; Politician; Military; Militia; Attorney at Law,1739,1812,M, ,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=50543.xml
112,"Trumbull, Jonathan",Connecticut,State President/Governor,Statesman,1710,1785,M,American Academy of Arts and Sciences,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59151.xml
113,"Moylan, Stephen",Pennsylvania,Mustermaster general; Aide-de-camp; Quartermaster general; Colonel,Military; Merchant,1737,1811,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56028.xml
115,"Mercer, James",Virginia,Delegate Continental Congress; State Representative,Politician; Justice; Attorney at Law,1736,1793,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=55614.xml
119,"Mifflin, Thomas",Pennsylvania,Delegate Continental Congress; Quartermaster general; General; Aide-de-camp; Board of War; State Representative,Politician; Military; Merchant ,1744,1800,M,American Philosophical Society,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=55677.xml
